"Extensions Store","Extensions Store"
"Hycube Extensions Store","Hycube Extensions Store"
"Extensions &amp; Notifications","Extensions &amp; Notifications"
"Installed Extensions","Installed Extensions"
"Notifications","Notifications"
"I`d like to be informed by Hycube Updates about","I`d like to be informed by Hycube Updates about"
"I`d like to be informed by Hycube Promos about","I`d like to be informed by Hycube Promos about"
"Hycube - Extensions Information","Hycube - Extensions Information"
"Hycube - Extensions Store","Hycube - Extensions Store"
"Show","Show"
"Installed","Installed"
"Update available","Update available"
"Output disabled","Output disabled"
"Fix","Fix"
"Rollback","Rollback"
"Show instructions","Show instructions"
"Open file","Open file"
"Replace","Replace"
"to","to"
"Clear magento cache and all external caches like APC (if any).","Clear magento cache and all external caches like APC (if any)."
"No actions required","No actions required"
"General","General"
"Compilation","Compilation"
"On","On"
"Off","Off"
"Disabled output","Disabled output"
"No","No"
"Cron","Cron"
"No cron jobs found","No cron jobs found"
"Learn more","Learn more"
"Rewrites","Rewrites"
"Latest Message:","Latest Message:"
"Read details","Read details"
"Close","Close"
"Unsubscribe","Unsubscribe"
"New version %s is available for the %s by Hycube","New version %s is available for the %s by Hycube"
"See","See"
"change-log","change-log"
"Events","Events"
"method","method"
